Tamaño,Base_de_datos,Ejecucion,Tiempo_simple_ms,Tiempo_agregado_ms,Throughput_req_s,CPU_%,Memoria_MiB,IO_MB_s,Almacenamiento_MB
Small,Influx,results_20251121_180527,6522.0,437.0,0.8130081300813008,32.18,1456.195,3.747,137.0
Small,Influx,results_20251121_180559,6425.0,452.0,0.7987858455148175,30.9421052631579,1358.584210526316,4.263684210526316,137.0
Small,Influx,results_20251121_180631,7755.0,449.0,0.8449514152936206,27.999999999999993,1480.4550000000002,4.049499999999999,137.0
Small,Influx,results_20251121_180703,5804.0,431.0,0.7971938775510203,32.62105263157895,1401.4105263157894,3.444210526315789,137.0
Small,Influx,results_20251121_180734,10782.0,426.0,0.8598452278589853,22.5,1336.6238095238095,3.6004761904761904,137.0
Small,Influx,results_20251121_180810,8867.0,410.0,0.7490075649764062,31.134782608695648,1267.9043478260867,3.468695652173913,137.0
Small,Influx,results_20251121_180845,14046.0,445.0,0.8736676568233445,24.426923076923078,1372.2461538461537,3.6607692307692306,137.0
Small,Influx,results_20251121_180925,10197.0,545.0,0.6518479890489538,29.82,1426.656,5.2688,137.0
Small,Influx,results_20251121_181004,6848.0,456.0,0.5812939603557519,36.99130434782609,1497.9999999999998,3.303043478260869,137.0
Small,Influx,results_20251121_181041,14350.0,522.0,0.7006726457399103,30.033333333333328,1403.3000000000002,2.8177777777777777,137.0
Small,Influx,results_20251121_181122,4518.0,498.0,0.7237461098646595,37.76315789473684,1516.5894736842104,3.3599999999999994,137.0
Small,Influx,results_20251121_181155,12327.0,471.0,0.6556087327083197,29.904347826086955,1401.0652173913043,2.7047999999999996,137.0
Small,Influx,results_20251121_181235,10355.0,443.0,0.6924248719013987,29.94782608695652,1461.491304347826,3.5187500000000003,137.0
Small,Influx,results_20251121_181313,16587.0,460.0,0.690035881865857,25.782758620689656,1396.2241379310344,3.6655172413793102,137.0
Small,Influx,results_20251121_181357,8444.0,445.0,0.6804109682248078,29.75,1465.3772727272728,3.196363636363636,137.0
Small,Influx,results_20251121_181433,7725.0,2479.0,0.6561679790026247,30.756521739130438,1352.686956521739,3.4296,137.0
Small,Influx,results_20251121_181512,12879.0,503.0,0.6490556240669826,28.541666666666668,1327.7541666666666,2.8384000000000005,137.0
Small,Influx,results_20251121_181553,12812.0,1239.0,0.7227000072270001,24.645833333333332,1265.5833333333333,2.6043999999999996,137.0
Small,Influx,results_20251121_181634,8703.0,504.0,0.726480203414457,32.599999999999994,1496.6047619047622,3.211818181818181,137.0
Small,Influx,results_20251121_181710,7868.0,510.0,0.6577649148194435,35.54347826086957,1445.9260869565219,2.718260869565217,137.0
Small,Influx,results_20251121_181746,9450.0,448.0,0.6817097279978185,33.96521739130435,1469.695652173913,2.6645833333333333,137.0
Small,Influx,results_20251121_181823,9812.0,495.0,0.8816787162757891,33.5,1384.4428571428575,4.360476190476191,137.0
Small,Influx,results_20251121_181857,7758.0,725.0,0.45856834961250975,24.065384615384616,1289.3653846153845,2.3948275862068966,137.0
Small,Influx,results_20251121_181941,7628.0,512.0,0.5106209150326797,30.930769230769233,1476.1769230769228,2.670769230769231,137.0
Small,Influx,results_20251121_182021,10393.0,1101.0,0.7218131947452,30.8,1399.6391304347828,3.0611999999999995,137.0
Small,Influx,results_20251121_182059,7562.0,452.0,0.6459531038046638,36.831818181818186,1451.2136363636366,2.81,137.0
Small,Influx,results_20251121_182135,5874.0,459.0,0.7292882147024504,34.810526315789474,1286.8999999999996,2.6335000000000006,137.0
Small,Influx,results_20251121_182208,7719.0,1020.9999999999999,0.7839448102853559,35.199999999999996,1299.859090909091,3.0013636363636365,137.0
Small,Influx,results_20251121_182242,11239.0,469.0,0.7020499859590003,28.966666666666665,1487.7,3.1833333333333336,137.0
Small,Influx,results_20251121_182321,6543.0,1012.0,0.6216972334473111,24.527272727272724,1446.6818181818182,2.7243478260869565,137.0
Small,Timescale,results_20251121_160410,834.0,1384.0,1.2453300124533002,19.183333333333334,1463.5,9.395000000000001,1843.2
Small,Timescale,results_20251121_160433,1016.0,1361.0,1.601281024819856,19.279999999999998,1348.2899999999997,8.238181818181818,1843.2
Small,Timescale,results_20251121_160455,916.0,1336.0,1.55448468832582,19.2,1412.8799999999999,8.443636363636363,1843.2
Small,Timescale,results_20251121_160516,1542.0,1396.0,1.3289036544850499,18.75,1412.0749999999998,9.386363636363637,1843.2
Small,Timescale,results_20251121_160540,950.0,1357.0,1.361285053090117,19.099999999999998,1461.2818181818182,7.957272727272727,1843.2
Small,Timescale,results_20251121_160603,995.0,2949.0,1.1102475852115021,16.699999999999996,1396.357142857143,7.590000000000001,1843.2
Small,Timescale,results_20251121_160630,1223.0,1726.0,1.5337423312883436,20.499999999999996,1352.1363636363637,7.96,1843.2
Small,Timescale,results_20251121_160652,1016.9999999999999,1370.0,1.3842746400885935,19.145454545454548,1383.0272727272727,8.290000000000001,1843.2
Small,Timescale,results_20251121_160714,968.0,1322.0,1.0063399416322834,19.785714285714285,1477.6642857142858,6.339999999999999,1843.2
Small,Timescale,results_20251121_160738,956.0,1366.0,1.2850167052171677,20.066666666666666,1488.0,8.705,1843.2
Small,Timescale,results_20251121_160801,960.0,1706.0,0.9085953116481919,18.546666666666663,1444.3400000000001,6.474,1843.2
Small,Timescale,results_20251121_160828,1210.0,1842.0,0.944822373393802,21.280000000000005,1483.12,6.065,1843.2
Small,Timescale,results_20251121_160855,1306.0,1878.0,1.0678056593699947,20.613333333333333,1425.0399999999997,6.260666666666666,1843.2
Small,Timescale,results_20251121_160921,2101.0,1643.0,0.940822278671559,21.07857142857143,1403.8714285714284,9.02,1843.2
Small,Timescale,results_20251121_160949,1186.0,1769.0,0.9666505558240696,20.74666666666667,1490.3600000000001,5.922666666666667,1843.2
Small,Timescale,results_20251121_161016,4032.0,1698.0,0.9462528387585163,17.40666666666667,1393.1333333333337,5.732941176470588,1843.2
Small,Timescale,results_20251121_161045,2935.0,1936.0,0.8509189925119128,20.955555555555556,1442.4722222222222,4.477222222222222,1843.2
Small,Timescale,results_20251121_161114,1254.0,1917.0,0.8847208705653365,19.35625,1472.3937500000002,5.72375,1843.2
Small,Timescale,results_20251121_161144,1418.0,1310.0,1.216101179618144,18.683333333333334,1401.1750000000002,9.56076923076923,1843.2
Small,Timescale,results_20251121_161207,1106.0,1844.0,1.0274324463166546,22.321428571428573,1445.0071428571425,7.075333333333333,1843.2
Small,Timescale,results_20251121_161232,1112.0,1386.0,1.417233560090703,18.509090909090908,1423.790909090909,8.42090909090909,1843.2
Small,Timescale,results_20251121_161255,911.0,2193.0,1.4677821811243212,17.92727272727273,1405.7636363636364,7.208181818181817,1843.2
Small,Timescale,results_20251121_161318,969.0,1787.0,1.6388069485414618,15.35,1308.9899999999998,8.043000000000001,1843.2
Small,Timescale,results_20251121_161339,989.0,1876.0,1.274047649382087,20.666666666666664,1413.3749999999998,5.624999999999999,1843.2
Small,Timescale,results_20251121_161402,896.0,1382.0,1.3034410844629822,20.645454545454545,1440.8181818181818,8.841818181818182,1843.2
Small,Timescale,results_20251121_161425,809.0,1355.0,1.355197181189863,16.836363636363636,1331.5909090909088,6.987272727272727,1843.2
Small,Timescale,results_20251121_161447,925.0,3209.0,1.392951664577239,18.091666666666665,1308.8833333333332,7.4775,1843.2
Small,Timescale,results_20251121_161511,1688.0,1367.0,1.1716461628588166,19.036363636363635,1381.2727272727275,6.147692307692308,1843.2
Small,Timescale,results_20251121_161536,1077.0,1464.0,1.42836737608913,19.59090909090909,1411.6363636363635,8.565,1843.2
Small,Timescale,results_20251121_161559,1611.0,1362.0,1.389854065323141,18.500000000000004,1374.6090909090908,7.066666666666666,1843.2
Small,ColumnStore,results_20251107_003731,4253.0,1969.0,0.5652591713300549,16.616,2560.7960000000003,9.708076923076922,510.0
Small,ColumnStore,results_20251107_003807,4137.0,1675.0,0.36221385105766446,9.539393939393939,2683.6939393939397,7.074242424242425,510.0
Small,ColumnStore,results_20251107_003854,3575.0,2000.0,0.4094165813715455,21.74137931034483,2697.7793103448284,10.133448275862069,510.0
Small,ColumnStore,results_20251107_003938,4178.0,1223.0,0.38025705376834745,22.186666666666667,2598.47,9.435806451612903,510.0
Small,ColumnStore,results_20251107_004022,4548.0,2520.0,0.4525296406914653,12.503448275862068,2764.972413793104,12.408666666666669,510.0
Small,ColumnStore,results_20251107_004106,4148.0,4657.0,0.3983111606787222,15.203225806451615,2753.7483870967744,7.133225806451613,510.0
Small,ColumnStore,results_20251107_004153,5835.0,1938.0,0.4242321398269133,27.200000000000003,2583.189655172414,11.796451612903228,510.0
Small,ColumnStore,results_20251107_004237,4348.0,3079.0,0.3163555836760519,18.65135135135135,3006.143243243244,274.8951351351351,510.0
Small,ColumnStore,results_20251107_004333,4835.0,2197.0,0.5155436407691911,20.720000000000006,2737.616,363.7453846153846,510.0
Small,ColumnStore,results_20251107_004413,5969.0,1359.0,0.5922065616487031,14.066666666666665,2746.8541666666665,714.2512499999999,510.0
Small,ColumnStore,results_20251107_004450,6602.0,2582.0,0.4036326942482341,15.244827586206897,2657.975862068965,9.09741935483871,510.0
Small,ColumnStore,results_20251107_004536,4932.0,2505.0,0.3747423646243208,15.96551724137931,2771.672413793104,8.705333333333334,510.0
Small,ColumnStore,results_20251107_004624,4361.0,2711.0,0.4374261843313941,10.541379310344825,2709.696551724138,8.651666666666667,510.0
Small,ColumnStore,results_20251107_004707,4866.0,3289.0,0.4995504046358277,11.488461538461538,2554.5115384615387,8.35,510.0
Small,ColumnStore,results_20251107_004747,3870.0,2054.0,0.30662619200932145,13.42222222222222,2686.280555555555,10.503055555555555,510.0
Small,ColumnStore,results_20251107_004838,5353.0,2909.0,0.41739711161198767,20.43793103448276,2577.882758620689,11.067333333333334,510.0
Small,ColumnStore,results_20251107_004922,5944.0,2372.0,0.435748834371868,22.983870967741936,2600.680645161291,7.034242424242424,510.0
Small,ColumnStore,results_20251107_005006,4003.0,1285.0,0.31735956839098695,25.065714285714286,2464.857142857143,30.411666666666665,510.0
Small,ColumnStore,results_20251107_005055,8267.0,2250.0,0.3317409766454353,19.708333333333336,2835.2944444444447,867.6591891891891,510.0
Small,ColumnStore,results_20251107_005148,4845.0,2226.0,0.5016302984700276,14.372413793103446,2669.1793103448276,190.2741379310345,510.0
Small,ColumnStore,results_20251107_005228,3906.0,1034.0,0.4215673875468994,15.714285714285712,2798.296428571429,14.198965517241378,510.0
Small,ColumnStore,results_20251107_005313,3990.0,1229.0,0.351642168928898,14.018518518518519,2429.3074074074075,9.162758620689656,510.0
Small,ColumnStore,results_20251107_005359,4345.0,1593.0,0.3930663102865454,18.042857142857144,2539.860714285714,9.375714285714285,510.0
Small,ColumnStore,results_20251107_005442,5295.0,1981.0,0.4138387684158252,21.090322580645164,2292.851612903226,38.94806451612904,510.0
Small,ColumnStore,results_20251107_005527,4328.0,1164.0,0.5699629524080935,10.004166666666665,2608.8250000000003,9.089166666666666,510.0
Small,ColumnStore,results_20251107_005602,4308.0,1064.0,0.4903402961655389,15.684615384615382,2990.0730769230768,9.663703703703701,510.0
Small,ColumnStore,results_20251107_005640,3803.0,1016.9999999999999,0.2770773877143886,10.653846153846157,2624.587179487179,6.320769230769232,510.0
Small,ColumnStore,results_20251107_005734,5420.0,3105.0,0.262501640635254,13.28095238095238,2453.7880952380956,6.240232558139534,510.0
Small,ColumnStore,results_20251107_005833,3659.0,1053.0,0.34030968181044746,22.51379310344828,2837.572413793104,16.038666666666668,510.0
Small,ColumnStore,results_20251107_005919,3588.0,1029.0,0.29206460469055756,18.331249999999997,2740.46875,10.253939393939394,510.0
Medium,Influx,results_20251121_184411,33131.0,2629.0,1.117443289753045,18.517948717948716,1970.04358974359,7.130000000000001,433.0
Medium,Influx,results_20251121_184509,26890.0,2456.0,1.051967178624027,25.188888888888886,2215.8166666666666,5.322702702702704,433.0
Medium,Influx,results_20251121_184600,29350.0,2281.0,0.8666262241095416,21.425,2175.0699999999997,4.546749999999999,433.0
Medium,Influx,results_20251121_184657,33888.0,2233.0,0.7306736811340055,21.16,2008.6866666666672,3.9197826086956518,433.0
Medium,Influx,results_20251121_184800,30851.0,2350.0,0.8698677800974252,21.678947368421053,2245.755263157896,4.100975609756097,433.0
Medium,Influx,results_20251121_184858,36821.0,2745.0,0.6771397616468039,25.006122448979596,2218.755102040817,3.269807692307693,433.0
Medium,Influx,results_20251121_185006,26545.0,3108.0,0.4409559925919393,23.993181818181814,2383.359090909091,3.7325,433.0
Medium,Influx,results_20251121_185111,33153.0,2642.0,0.6612881893929374,22.31590909090909,2285.5568181818176,3.6542222222222227,433.0
Medium,Influx,results_20251121_185216,37527.0,2226.0,1.1095084877399313,17.651162790697676,2148.9860465116276,3.7966666666666673,433.0
Medium,Influx,results_20251121_185317,29472.0,3131.0,0.9254974548819991,22.4875,2038.475,3.729761904761905,433.0
Medium,Influx,results_20251121_185413,37642.0,2370.0,0.8862105636299185,20.78409090909091,2170.3,3.44125,433.0
Medium,Influx,results_20251121_185517,22143.0,2524.0,0.8409721638213775,23.78181818181818,2187.909090909091,4.273714285714286,433.0
Medium,Influx,results_20251121_185607,32433.0,2662.0,0.6512112529304507,20.808695652173913,2239.3130434782606,3.3654166666666665,433.0
Medium,Influx,results_20251121_185710,29228.0,2619.0,0.7530687551773477,24.54102564102564,2284.3948717948724,3.5383333333333336,433.0
Medium,Influx,results_20251121_185808,25954.0,3718.0,0.6245316012990257,25.709756097560973,1998.6853658536586,3.841463414634146,433.0
Medium,Influx,results_20251121_185906,23046.0,4343.0,0.6613756613756614,22.620512820512822,2309.551282051281,3.8914634146341465,433.0
Medium,Influx,results_20251121_190001,20577.0,2654.0,0.6278252134605725,29.738888888888887,2385.722222222222,4.093333333333333,433.0
Medium,Influx,results_20251121_190054,26373.0,3631.0,0.644122383252818,27.28048780487805,2283.509756097561,3.6651219512195117,433.0
Medium,Influx,results_20251121_190152,20394.0,2624.0,0.697350069735007,26.144444444444442,2396.6055555555554,4.043157894736842,433.0
Medium,Influx,results_20251121_190242,26937.0,4357.0,0.7371913011426465,20.94390243902439,2314.051219512195,3.212727272727273,433.0
Medium,Influx,results_20251121_190340,29762.0,3074.0,0.6181615874389566,24.35217391304348,2298.532608695652,3.5353488372093027,433.0
Medium,Influx,results_20251121_190442,32615.000000000004,2791.0,0.7110858280594468,26.048837209302327,2060.190697674419,3.2321739130434786,433.0
Medium,Influx,results_20251121_190544,24303.0,2584.0,0.5989817310572028,27.544999999999998,2031.2724999999998,3.689,433.0
Medium,Influx,results_20251121_190640,35085.0,2555.0,0.7437156031533542,24.174468085106383,2102.0425531914884,3.024200000000001,433.0
Medium,Influx,results_20251121_190745,23470.0,4066.0,0.7570022710068129,24.571052631578947,2286.3315789473677,3.748974358974359,433.0
Medium,Influx,results_20251121_190838,27614.0,2742.0,0.6481301445330222,26.94634146341464,2162.6097560975613,3.6384999999999996,433.0
Medium,Influx,results_20251121_190937,37805.0,3045.0,0.612294881214793,23.544,2271.6980000000003,3.1059615384615387,433.0
Medium,Influx,results_20251121_191047,22677.0,4879.0,0.5290725358446643,27.482926829268298,1995.1317073170733,2.9990476190476194,433.0
Medium,Influx,results_20251121_191146,30651.0,5083.0,0.7496813854112002,24.058139534883722,2248.502325581395,3.167446808510638,433.0
Medium,Influx,results_20251121_191248,24633.0,4151.0,0.7180812868016659,27.17948717948718,2127.748717948718,3.53625,433.0
Medium,Timescale,results_20251121_163039,2200.0,3954.0,0.48267207259387973,18.808000000000003,2277.092,6.086785714285715,4403.2
Medium,Timescale,results_20251121_163119,2739.0,4019.0,0.4940711462450593,20.939285714285713,2249.932142857143,5.872068965517242,4403.2
